50
116,44,142,80,
112,4,127,179,
80,92,122,79,
126,93,91,78,
46,89,8,78,
136,159,16,110,
75,69,84,95,
64,182,44,100,
89,88,117,9,
6,74,167,85,
93,39,86,5,
121,40,63,65,
87,9,122,83,
55,127,11,116,
152,110,168,108,
150,70,82,80,
119,159,126,30,
31,106,113,167,
25,150,173,70,
33,130,112,166,
30,61,72,162,
21,150,15,55,
117,7,122,147,
139,176,33,74,
146,104,170,74,
12,110,9,121,
159,146,161,105,
12,84,82,178,
179,101,72,12,
90,75,51,65,
149,34,94,103,
70,38,126,17,
73,166,104,172,
77,141,105,183,
34,108,158,102,
137,26,161,104,
159,169,165,84,
135,160,42,87,
5,124,30,90,
41,98,75,158,
74,143,86,175,
76,52,122,9,
45,162,63,55,
5,98,174,96,
36,154,4,72,
26,34,115,73,
132,162,84,141,
94,47,44,59,
102,49,54,140,
27,65,27,91,
