110
0,27,9,39,
15,1,3,7,
16,37,20,48,
12,46,8,15,
9,2,21,32,
10,48,9,13,
3,10,18,52,
14,26,15,47,
0,26,12,10,
20,15,18,29,
21,16,9,10,
18,45,3,42,
4,49,15,5,
0,20,21,0,
0,36,9,24,
16,51,12,3,
10,0,3,3,
7,48,9,8,
20,26,3,35,
1,48,15,29,
3,36,3,12,
12,12,9,30,
3,43,14,15,
12,5,15,26,
6,30,12,49,
3,4,0,17,
9,39,12,33,
10,15,15,45,
3,51,0,29,
12,38,17,15,
0,13,8,37,
15,0,9,6,
12,32,6,23,
9,6,6,0,
12,13,15,19,
17,52,9,28,
16,1,6,6,
12,0,15,13,
13,2,0,14,
3,3,7,52,
1,49,6,20,
19,50,1,26,
0,10,20,37,
11,26,7,0,
0,2,15,43,
7,15,0,49,
3,18,12,29,
3,16,5,15,
12,52,12,50,
19,37,14,50,
9,19,3,52,
0,30,12,16,
21,20,19,50,
3,28,3,8,
19,3,12,21,
21,13,0,24,
3,39,21,25,
8,52,9,15,
21,33,6,1,
3,23,9,34,
6,34,16,3,
6,49,5,49,
10,1,3,34,
0,17,4,37,
14,48,14,26,
9,26,12,32,
6,28,14,37,
3,5,16,1,
2,52,12,14,
13,51,21,19,
9,38,14,0,
19,1,1,3,
6,15,9,48,
13,4,4,1,
0,24,12,28,
9,4,21,34,
9,50,21,5,
2,51,9,45,
11,2,14,2,
21,9,21,20,
4,1,6,51,
15,46,3,18,
9,5,9,21,
21,14,0,25,
3,31,17,3,
3,1,15,6,
12,11,0,13,
4,48,9,43,
21,2,3,33,
21,47,15,33,
12,24,12,19,
21,30,11,0,
12,23,9,32,
3,47,11,48,
0,51,6,34,
18,17,3,23,
15,37,12,30,
0,6,15,4,
3,46,9,18,
12,42,15,28,
13,49,9,25,
3,21,18,46,
12,4,3,21,
15,21,2,1,
0,8,15,39,
21,24,18,10,
9,12,5,4,
5,51,21,13,
8,48,4,52,
15,9,9,3,
