210
12,49,8,74,
26,98,8,67,
10,65,26,43,
37,73,10,74,
24,43,26,87,
8,22,36,30,
10,21,26,44,
20,43,19,21,
9,49,39,70,
18,11,21,63,
18,18,18,63,
26,62,18,90,
40,70,22,32,
12,64,24,76,
28,41,20,12,
25,87,30,26,
25,26,19,52,
28,67,21,20,
26,89,24,54,
22,47,38,76,
40,23,25,42,
5,72,36,26,
23,58,18,54,
9,23,22,40,
26,65,24,100,
25,82,34,69,
23,73,25,76,
17,48,27,92,
26,28,5,26,
23,20,36,24,
29,39,13,49,
18,100,9,18,
8,76,23,33,
11,44,43,73,
22,11,20,18,
8,41,12,47,
26,31,20,8,
27,80,8,43,
25,81,37,23,
25,40,16,83,
12,27,4,25,
19,11,11,74,
10,43,16,71,
24,99,17,17,
35,78,5,44,
6,68,29,60,
6,26,20,10,
27,91,42,20,
23,94,5,51,
30,37,21,69,
13,70,31,22,
29,25,21,22,
25,76,24,79,
23,88,20,11,
11,41,25,43,
26,50,25,61,
19,7,10,76,
28,9,6,23,
17,58,17,21,
23,98,17,75,
29,10,17,18,
27,90,27,78,
30,60,35,30,
28,60,6,70,
24,76,19,72,
8,17,27,83,
35,68,23,73,
12,28,25,77,
28,75,19,74,
21,27,24,87,
20,53,20,49,
22,37,39,65,
19,4,25,31,
26,43,24,59,
22,35,37,73,
13,45,8,70,
19,38,18,21,
27,72,39,76,
37,76,42,19,
20,20,19,25,
18,12,29,26,
18,61,12,53,
7,19,27,17,
20,33,28,97,
28,85,24,11,
9,51,10,49,
27,22,12,40,
18,97,41,72,
24,92,28,32,
18,5,24,46,
27,78,29,23,
39,69,37,27,
36,72,37,70,
24,23,6,44,
17,44,7,46,
18,75,24,58,
22,58,23,97,
26,46,22,43,
12,78,19,87,
22,43,22,5,
21,6,20,102,
30,18,25,102,
27,92,34,70,
6,48,30,39,
18,13,11,47,
35,74,12,26,
25,60,25,89,
21,61,28,58,
21,90,19,5,
31,20,21,89,
13,50,36,21,
27,66,33,67,
29,19,19,50,
9,64,5,48,
26,9,35,65,
7,51,21,54,
23,52,5,43,
5,74,26,24,
6,71,40,76,
38,75,31,25,
7,20,5,25,
28,55,27,86,
28,65,24,82,
23,92,28,46,
37,23,30,56,
11,29,11,27,
9,68,6,71,
20,6,25,67,
26,25,7,51,
23,51,26,64,
19,48,28,40,
17,72,18,47,
18,66,3,49,
36,23,6,19,
8,73,19,69,
28,91,29,72,
22,62,27,97,
23,4,7,29,
4,21,25,79,
39,23,26,30,
36,66,27,85,
39,75,22,87,
20,4,29,6,
5,70,13,50,
28,11,30,37,
26,74,24,68,
26,12,23,76,
10,45,21,23,
6,72,8,26,
27,100,17,8,
20,46,25,55,
38,77,11,43,
8,53,26,62,
10,75,6,28,
24,29,16,96,
18,37,21,28,
34,74,8,47,
22,98,36,64,
9,78,23,74,
19,56,4,48,
21,35,22,88,
16,82,12,49,
35,28,22,92,
25,3,5,23,
38,22,33,68,
39,65,18,66,
28,22,25,32,
23,40,6,51,
22,41,27,4,
42,68,38,64,
40,72,26,10,
28,45,4,50,
26,87,12,42,
5,73,23,87,
21,67,35,17,
30,59,41,27,
21,50,35,69,
24,91,27,77,
40,26,27,47,
29,73,7,42,
23,95,18,72,
26,71,12,50,
23,35,28,98,
11,78,36,76,
22,65,29,40,
38,70,24,12,
31,19,33,65,
26,21,28,61,
18,92,22,63,
25,8,29,59,
20,55,17,57,
22,46,27,7,
24,49,20,51,
25,61,24,78,
17,36,24,71,
10,51,11,40,
19,31,17,50,
9,67,28,68,
22,5,4,46,
17,34,26,22,
21,92,23,27,
22,90,12,27,
34,66,40,74,
41,69,23,80,
25,21,24,60,
29,90,33,71,
10,44,8,27,
25,41,28,28,
22,15,16,70,
16,35,23,6,
