60
12,12,24,24,
3,19,24,14,
29,27,27,11,
16,5,18,7,
18,25,24,25,
28,6,21,2,
29,26,22,17,
24,1,29,14,
0,19,27,26,
22,13,17,19,
29,5,2,16,
10,16,23,28,
20,1,14,22,
0,25,6,26,
28,20,6,12,
31,30,11,3,
4,18,25,24,
4,25,23,17,
9,9,16,27,
18,27,24,2,
10,23,14,0,
23,19,10,0,
7,4,26,13,
27,7,10,12,
17,18,11,26,
5,31,6,18,
5,25,12,8,
5,11,20,22,
28,28,30,10,
2,2,0,15,
16,11,4,15,
3,29,1,10,
6,15,8,16,
3,8,22,8,
18,4,17,29,
28,31,1,7,
29,31,22,14,
12,19,25,25,
14,14,10,24,
21,19,22,1,
9,7,14,6,
20,31,22,29,
8,5,4,20,
15,11,27,1,
16,16,18,2,
26,21,6,3,
8,25,7,19,
12,5,4,18,
3,1,0,21,
12,3,12,26,
22,17,10,25,
4,26,10,18,
23,16,0,1,
10,5,8,14,
25,27,5,16,
13,21,13,2,
0,14,9,17,
1,10,31,4,
22,22,16,20,
25,31,2,6,
